,Team,Att,Rush_Yds,YPC,TD,20+,40+,Lng,Rush_1st,Rush_1st%,Rush_FUM,Years
344,Cardinals,389,1625,4.2,12,7,2,71,83,21.3,8,2011
345,Eagles,450,2276,5.1,20,20,3,60,134,29.8,9,2011
346,Jets,443,1692,3.8,14,7,0,31,92,20.8,8,2011
347,Giants,411,1427,3.5,17,4,0,37,84,20.4,6,2011
348,Saints,431,2127,4.9,16,14,0,36,116,26.9,3,2011
349,Patriots,438,1764,4.0,18,5,0,33,107,24.4,3,2011
350,Vikings,448,2318,5.2,18,19,5,67,118,26.3,7,2011
351,Dolphins,469,1987,4.2,11,11,1,76,89,19.0,13,2011
352,Raiders,466,2110,4.5,16,21,4,70,110,23.6,7,2011
353,Rams,409,1667,4.1,7,7,2,47,79,19.3,6,2011
354,Chiefs,487,1893,3.9,5,13,0,34,89,18.3,5,2011
355,Jaguars,489,1970,4.0,9,10,3,56,103,21.1,13,2011
356,Colts,382,1594,4.2,8,7,2,80,69,18.1,7,2011
357,Texans,546,2448,4.5,18,13,4,56,131,24.0,10,2011
358,Titans,376,1438,3.8,8,14,1,48,71,18.9,5,2011
359,Packers,395,1558,3.9,12,8,2,47,89,22.5,4,2011
360,Lions,356,1523,4.3,9,8,3,88,71,19.9,6,2011
361,Broncos,546,2632,4.8,11,20,1,60,129,23.6,11,2011
362,Cowboys,408,1807,4.4,5,11,3,91,91,22.3,8,2011
363,Browns,415,1531,3.7,4,7,1,40,77,18.6,10,2011
364,Bengals,455,1778,3.9,10,6,1,42,93,20.4,7,2011
365,Bears,456,2015,4.4,10,18,4,46,97,21.3,7,2011
366,Panthers,445,2408,5.4,26,24,3,74,139,31.2,3,2011
367,Bills,391,1921,4.9,12,17,3,80,100,25.6,10,2011
368,Ravens,459,1996,4.3,15,13,5,70,98,21.4,6,2011
369,Falcons,453,1834,4.0,14,11,4,81,100,22.1,4,2011
370,Redskins,519,2709,5.2,22,16,2,76,144,27.7,13,2012
371,Buccaneers,416,1837,4.4,13,12,5,70,89,21.4,3,2012
372,Seahawks,536,2579,4.8,16,14,2,77,129,24.1,7,2012
373,49ers,492,2491,5.1,17,17,2,50,128,26.0,11,2012
374,Chargers,411,1461,3.6,4,4,1,52,81,19.7,5,2012
375,Steelers,412,1537,3.7,8,8,0,34,80,19.4,8,2012
376,Cardinals,352,1204,3.4,10,9,3,52,58,16.5,6,2012
377,Eagles,413,1874,4.5,10,14,2,65,111,26.9,18,2012
378,Jets,494,1896,3.8,12,5,1,61,102,20.6,9,2012
379,Giants,409,1862,4.6,18,13,2,52,103,25.2,6,2012
380,Saints,370,1577,4.3,10,11,3,56,64,17.3,0,2012
381,Patriots,523,2184,4.2,25,11,2,47,151,28.9,6,2012
382,Vikings,486,2634,5.4,16,33,8,82,113,23.3,9,2012
383,Dolphins,440,1802,4.1,15,13,2,65,93,21.1,13,2012
384,Raiders,376,1420,3.8,4,8,3,64,72,19.1,4,2012
385,Rams,410,1714,4.2,5,10,3,53,79,19.3,5,2012
386,Chiefs,500,2395,4.8,9,13,5,91,118,23.6,11,2012
387,Jaguars,358,1369,3.8,5,6,1,59,76,21.2,8,2012
388,Colts,440,1671,3.8,11,5,0,26,110,25.0,5,2012
389,Texans,508,2123,4.2,19,15,2,81,114,22.4,5,2012
390,Titans,378,1687,4.5,10,13,3,94,70,18.5,6,2012
391,Packers,433,1702,3.9,9,8,1,41,85,19.6,4,2012
392,Lions,391,1613,4.1,17,4,1,67,84,21.5,7,2012
393,Broncos,481,1832,3.8,12,7,0,31,112,23.3,8,2012
394,Cowboys,355,1265,3.6,8,6,1,48,76,21.4,6,2012
395,Browns,396,1593,4.0,12,7,0,35,71,17.9,8,2012
396,Bengals,430,1745,4.1,11,13,3,48,95,22.1,4,2012
397,Bears,470,1970,4.2,11,11,2,46,99,21.1,4,2012
398,Panthers,462,2088,4.5,21,17,4,72,123,26.6,8,2012
399,Bills,442,2217,5.0,12,15,5,62,103,23.3,7,2012
400,Ravens,444,1901,4.3,17,10,3,78,98,22.1,4,2012
401,Falcons,378,1397,3.7,12,7,2,43,70,18.5,4,2012
402,Redskins,453,2164,4.8,14,16,1,45,112,24.7,11,2013
403,Buccaneers,420,1612,3.8,6,9,2,80,75,17.9,6,2013
404,Seahawks,509,2188,4.3,14,11,1,43,116,22.8,6,2013
405,49ers,505,2201,4.4,18,20,3,51,115,22.8,7,2013
406,Chargers,486,1965,4.0,9,7,2,51,104,21.4,5,2013
407,Steelers,394,1383,3.5,9,7,1,43,81,20.6,6,2013
408,Cardinals,422,1540,3.6,12,10,1,80,84,19.9,7,2013
409,Eagles,500,2566,5.1,19,19,5,65,133,26.6,5,2013
410,Jets,493,2158,4.4,12,14,2,69,105,21.3,7,2013
411,Giants,381,1332,3.5,11,4,1,49,77,20.2,12,2013
412,Saints,391,1473,3.8,10,7,0,38,87,22.3,1,2013
413,Patriots,470,2065,4.4,19,12,2,47,110,23.4,10,2013
414,Vikings,423,2081,4.9,23,16,5,78,106,25.1,9,2013
415,Dolphins,349,1440,4.1,8,8,4,55,61,17.5,5,2013
416,Raiders,437,2000,4.6,16,18,3,93,90,20.6,7,2013
417,Rams,426,1752,4.1,10,11,4,65,82,19.2,6,2013
418,Chiefs,442,2056,4.7,17,13,1,46,110,24.9,8,2013
419,Jaguars,378,1260,3.3,7,7,2,48,71,18.8,5,2013
420,Colts,409,1743,4.3,15,11,2,51,88,21.5,3,2013
421,Texans,414,1743,4.2,7,7,1,60,90,21.7,5,2013
422,Titans,462,1894,4.1,16,11,0,39,103,22.3,8,2013
423,Packers,459,2136,4.7,17,11,5,67,119,25.9,7,2013
424,Lions,445,1792,4.0,15,8,0,39,106,23.8,19,2013
425,Broncos,461,1873,4.1,16,9,1,45,107,23.2,10,2013
426,Cowboys,336,1504,4.5,12,9,4,45,80,23.8,5,2013
427,Browns,348,1383,4.0,4,9,2,45,77,22.1,2,2013
428,Bengals,481,1755,3.6,14,5,0,35,101,21.0,7,2013
429,Bears,404,1828,4.5,13,13,5,55,102,25.2,4,2013
430,Panthers,483,2026,4.2,14,10,2,56,122,25.3,3,2013
431,Bills,546,2307,4.2,15,11,5,77,113,20.7,12,2013
432,Ravens,423,1328,3.1,7,5,1,47,68,16.1,2,2013
433,Falcons,321,1247,3.9,11,6,2,50,64,19.9,1,2013
434,Redskins,401,1691,4.2,15,11,0,30,88,21.9,9,2014
435,Buccaneers,353,1375,3.9,7,8,3,63,72,20.4,5,2014
436,Seahawks,525,2762,5.3,20,17,6,79,144,27.4,9,2014
437,49ers,470,2176,4.6,10,14,2,90,104,22.1,10,2014
438,Chargers,398,1367,3.4,6,6,1,52,75,18.8,5,2014
439,Steelers,423,1752,4.1,10,9,3,81,98,23.2,7,2014
440,Cardinals,397,1308,3.3,6,6,0,22,67,16.9,4,2014
441,Eagles,474,1992,4.2,16,12,2,53,109,23.0,10,2014
442,Jets,507,2280,4.5,11,10,2,71,112,22.1,10,2014
443,Giants,449,1603,3.6,13,4,2,50,83,18.5,1,2014
444,Saints,406,1818,4.5,16,10,2,67,101,24.9,6,2014
445,Patriots,438,1727,3.9,13,7,1,43,96,21.9,1,2014
446,Vikings,413,1804,4.4,12,11,3,67,90,21.8,3,2014
447,Dolphins,399,1872,4.7,12,13,2,97,99,24.8,8,2014
448,Raiders,337,1240,3.7,4,6,2,90,56,16.6,10,2014
449,Rams,395,1635,4.1,11,7,1,89,79,20.0,7,2014
450,Chiefs,420,1918,4.6,18,12,3,63,92,21.9,9,2014
451,Jaguars,360,1633,4.5,9,15,2,62,86,23.9,6,2014
452,Colts,415,1612,3.9,9,7,1,49,80,19.3,10,2014
453,Texans,551,2161,3.9,12,11,4,51,108,19.6,6,2014
454,Titans,356,1447,4.1,6,7,1,52,75,21.1,5,2014
455,Packers,435,1917,4.4,14,11,2,44,104,23.9,7,2014
456,Lions,396,1422,3.6,11,6,1,57,72,18.2,7,2014
457,Broncos,443,1785,4.0,15,13,1,47,98,22.1,6,2014
458,Cowboys,508,2354,4.6,16,19,5,65,106,20.9,9,2014
459,Browns,477,1728,3.6,17,10,0,36,88,18.4,7,2014
460,Bengals,492,2147,4.4,19,14,4,89,122,24.8,8,2014
461,Bears,355,1441,4.1,8,5,0,32,91,25.6,6,2014
462,Panthers,473,2036,4.3,10,7,1,69,117,24.7,9,2014
463,Bills,402,1482,3.7,7,7,3,53,65,16.2,5,2014
464,Ravens,448,2019,4.5,16,24,3,52,113,25.2,6,2014
465,Falcons,372,1498,4.0,11,7,2,55,75,20.2,4,2014
466,Redskins,429,1566,3.7,9,10,2,48,81,18.9,11,2015
467,Buccaneers,455,2162,4.8,12,20,5,84,99,21.8,9,2015
468,Seahawks,500,2268,4.5,10,12,2,69,128,25.6,7,2015
469,49ers,390,1544,4.0,7,6,2,47,83,21.3,8,2015
470,Chargers,393,1358,3.5,4,9,1,53,79,20.1,7,2015
471,Steelers,388,1724,4.4,16,15,3,55,91,23.5,5,2015
472,Cardinals,452,1917,4.2,16,12,5,63,92,20.4,8,2015
473,Eagles,442,1743,3.9,15,12,2,63,110,24.9,10,2015
474,Jets,448,1868,4.2,11,13,2,58,99,22.1,6,2015
475,Giants,403,1609,4.0,5,8,0,39,77,19.1,4,2015
476,Saints,397,1491,3.8,16,6,2,70,98,24.7,3,2015
477,Patriots,383,1404,3.7,14,4,0,38,87,22.7,2,2015
478,Vikings,474,2211,4.7,18,14,6,80,113,23.8,9,2015
479,Dolphins,344,1496,4.3,11,12,1,85,72,20.9,4,2015
480,Raiders,370,1457,3.9,7,10,2,54,74,20.0,6,2015
481,Rams,429,1956,4.6,16,19,7,71,92,21.4,12,2015
482,Chiefs,436,2044,4.7,19,13,2,52,116,26.6,5,2015
483,Jaguars,354,1473,4.2,5,8,1,45,69,19.5,9,2015
484,Colts,396,1438,3.6,6,7,0,37,77,19.4,6,2015
485,Texans,472,1731,3.7,7,7,1,41,90,19.1,5,2015
486,Titans,371,1485,4.0,10,10,2,87,66,17.8,9,2015
487,Packers,436,1850,4.2,8,9,1,65,100,22.9,8,2015
488,Lions,354,1335,3.8,7,7,0,36,71,20.1,7,2015
489,Broncos,411,1718,4.2,13,11,2,72,85,20.7,5,2015
490,Cowboys,408,1890,4.6,8,17,3,50,94,23.0,7,2015
491,Browns,380,1529,4.0,5,10,2,54,81,21.3,5,2015
492,Bengals,467,1805,3.9,18,5,0,38,99,21.2,8,2015
493,Bears,468,1854,4.0,13,6,0,27,108,23.1,5,2015
494,Panthers,526,2282,4.3,19,11,3,47,136,25.9,8,2015
495,Bills,509,2432,4.8,19,19,4,60,122,24.0,9,2015
496,Ravens,383,1478,3.9,8,7,1,44,89,23.2,6,2015
497,Falcons,420,1606,3.8,13,8,1,46,95,22.6,9,2015
498,Redskins,379,1696,4.5,17,10,4,66,89,23.5,7,2016
499,Buccaneers,453,1616,3.6,8,5,2,45,80,17.7,8,2016
500,Seahawks,403,1591,3.9,13,7,4,75,85,21.1,6,2016
501,49ers,458,2019,4.4,15,11,2,47,116,25.3,8,2016
502,Chargers,398,1510,3.8,10,9,3,48,90,22.6,6,2016
503,Steelers,409,1760,4.3,13,5,2,60,97,23.7,6,2016
504,Cardinals,399,1732,4.3,20,10,4,58,97,24.3,11,2016
505,Eagles,438,1813,4.1,16,7,0,30,114,26.0,9,2016
506,Jets,418,1802,4.3,10,11,0,35,97,23.2,6,2016
507,Giants,398,1412,3.5,6,7,0,25,73,18.3,2,2016
508,Saints,404,1742,4.3,17,8,2,75,105,26.0,2,2016
509,Patriots,482,1872,3.9,19,8,3,44,109,22.6,8,2016
510,Vikings,380,1205,3.2,9,6,0,36,66,17.4,3,2016
511,Dolphins,405,1824,4.5,14,12,5,62,90,22.2,11,2016
512,Raiders,434,1922,4.4,17,19,2,75,98,22.6,8,2016
513,Rams,375,1252,3.3,9,6,0,30,68,18.1,6,2016
514,Chiefs,412,1748,4.2,15,12,5,70,86,20.9,5,2016
515,Jaguars,392,1631,4.2,8,7,3,57,75,19.1,9,2016
516,Colts,409,1628,4.0,13,4,0,33,93,22.7,5,2016
517,Texans,456,1859,4.1,8,10,1,45,102,22.4,8,2016
518,Titans,476,2187,4.6,16,8,3,75,115,24.2,10,2016
519,Packers,374,1701,4.5,11,13,2,61,91,24.3,5,2016
520,Lions,350,1310,3.7,9,6,1,42,76,21.7,2,2016
521,Broncos,410,1484,3.6,11,4,1,64,76,18.5,5,2016
522,Cowboys,499,2396,4.8,24,17,3,60,142,28.5,9,2016
523,Browns,350,1712,4.9,13,12,3,85,83,23.7,12,2016
524,Bengals,446,1769,4.0,17,6,3,74,100,22.4,5,2016
525,Bears,380,1735,4.6,10,13,2,69,93,24.5,9,2016
526,Panthers,453,1814,4.0,16,10,1,47,99,21.9,6,2016
527,Bills,492,2630,5.3,29,27,5,75,146,29.7,11,2016
528,Ravens,367,1463,4.0,10,8,1,41,79,21.5,4,2016
529,Falcons,421,1928,4.6,20,15,4,75,108,25.7,3,2016
530,Redskins,401,1448,3.6,10,3,1,61,66,16.5,10,2017
531,Buccaneers,389,1450,3.7,8,5,0,36,76,19.5,7,2017
532,Seahawks,409,1629,4.0,4,12,0,33,85,20.8,7,2017
533,49ers,408,1662,4.1,15,8,1,61,88,21.6,7,2017
534,Chargers,419,1595,3.8,10,10,1,87,84,20.0,5,2017
535,Steelers,437,1667,3.8,12,6,0,29,96,22.0,4,2017
536,Cardinals,409,1386,3.4,6,5,0,33,66,16.1,9,2017
537,Eagles,473,2115,4.5,9,19,3,71,108,22.8,11,2017
538,Jets,427,1702,4.0,13,14,5,75,77,18.0,6,2017
539,Giants,394,1549,3.9,6,8,2,75,66,16.8,5,2017
540,Saints,444,2070,4.7,23,17,5,74,111,25.0,5,2017
541,Patriots,448,1889,4.2,16,10,1,44,107,23.9,4,2017
542,Vikings,501,1957,3.9,15,15,2,58,100,20.0,4,2017
543,Dolphins,360,1388,3.9,4,10,4,69,66,18.3,5,2017
544,Raiders,370,1554,4.2,13,10,4,52,78,21.1,8,2017
545,Rams,454,1953,4.3,17,12,1,57,97,21.4,8,2017
546,Chiefs,405,1903,4.7,12,15,4,70,95,23.5,3,2017
547,Jaguars,527,2262,4.3,18,13,5,90,101,19.2,9,2017
548,Colts,451,1661,3.7,11,8,0,35,94,20.8,7,2017
549,Texans,448,1842,4.1,8,6,2,49,86,19.2,4,2017
550,Titans,443,1833,4.1,18,12,3,75,97,21.9,4,2017
551,Packers,386,1724,4.5,13,11,1,46,99,25.6,4,2017
552,Lions,363,1221,3.4,10,7,0,34,58,16.0,6,2017
553,Broncos,457,1852,4.1,8,8,1,40,92,20.1,5,2017
554,Cowboys,480,2170,4.5,18,12,2,70,127,26.5,1,2017
555,Browns,384,1714,4.5,11,7,1,59,97,25.3,5,2017
556,Bengals,377,1366,3.6,6,8,0,25,72,19.1,4,2017
557,Bears,422,1788,4.2,13,10,5,53,93,22.0,10,2017
558,Panthers,490,2102,4.3,15,10,5,69,121,24.7,10,2017
559,Bills,487,2017,4.1,12,17,1,48,105,21.6,8,2017
560,Ravens,460,1856,4.0,14,8,1,50,111,24.1,5,2017
561,Falcons,430,1847,4.3,12,11,2,52,101,23.5,9,2017
562,Redskins,414,1774,4.3,12,7,3,90,96,23.2,6,2018
563,Buccaneers,389,1523,3.9,11,5,0,28,80,20.6,5,2018
564,Seahawks,534,2560,4.8,15,17,2,61,133,24.9,6,2018
565,49ers,423,1902,4.5,7,15,3,66,98,23.2,13,2018
566,Chargers,399,1873,4.7,16,16,1,41,100,25.1,2,2018
567,Steelers,345,1445,4.2,16,10,0,30,88,25.5,4,2018
568,Cardinals,355,1342,3.8,9,6,1,53,76,21.4,6,2018
569,Eagles,398,1570,3.9,12,7,0,32,94,23.6,5,2018
570,Jets,410,1622,4.0,11,11,3,77,84,20.5,9,2018
571,Giants,354,1650,4.7,13,17,7,78,71,20.1,0,2018
572,Saints,471,2025,4.3,26,9,1,49,134,28.5,7,2018
573,Patriots,478,2037,4.3,18,12,0,34,131,27.4,2,2018
574,Vikings,357,1493,4.2,9,13,1,70,66,18.5,6,2018
575,Dolphins,371,1738,4.7,7,12,3,75,75,20.2,7,2018
576,Raiders,387,1628,4.2,9,8,2,52,86,22.2,8,2018
577,Rams,459,2231,4.9,23,14,2,56,134,29.2,2,2018
578,Chiefs,387,1855,4.8,16,19,1,45,108,27.9,4,2018
579,Jaguars,416,1723,4.1,7,9,2,43,92,22.1,5,2018
580,Colts,408,1718,4.2,13,9,2,53,96,23.5,5,2018
581,Texans,472,2021,4.3,12,8,2,97,94,19.9,4,2018
582,Titans,454,2023,4.5,15,10,2,99,106,23.3,4,2018
583,Packers,333,1667,5.0,14,10,1,67,98,29.4,4,2018
584,Lions,404,1660,4.1,11,10,1,71,91,22.5,3,2018
585,Broncos,393,1907,4.9,18,12,3,65,107,27.2,4,2018
586,Cowboys,439,1963,4.5,13,12,1,41,113,25.7,10,2018
587,Browns,411,1893,4.6,15,18,5,92,93,22.6,6,2018
588,Bengals,359,1682,4.7,13,16,3,51,92,25.6,2,2018
589,Bears,468,1938,4.1,16,17,1,42,108,23.1,9,2018
590,Panthers,416,2136,5.1,17,15,3,59,117,28.1,7,2018
591,Bills,468,1984,4.2,15,15,1,45,108,23.1,7,2018
592,Ravens,547,2441,4.5,19,14,1,43,153,28.0,16,2018
593,Falcons,351,1573,4.5,11,14,3,65,84,23.9,4,2018
594,Redskins,356,1583,4.4,9,11,2,65,74,20.8,7,2019
595,Buccaneers,409,1521,3.7,15,10,1,49,81,19.8,6,2019
596,Seahawks,481,2200,4.6,15,14,2,59,121,25.2,11,2019
597,49ers,498,2305,4.6,23,16,4,83,110,22.1,8,2019
598,Chargers,366,1453,4.0,12,9,1,40,90,24.6,7,2019
599,Steelers,395,1447,3.7,7,9,1,45,75,19.0,7,2019
600,Cardinals,396,1990,5.0,18,16,1,80,109,27.5,3,2019
601,Eagles,454,1939,4.3,16,7,2,65,104,22.9,9,2019
602,Jets,383,1257,3.3,6,2,0,24,61,15.9,5,2019
603,Giants,362,1685,4.7,11,13,3,68,89,24.6,9,2019
604,Saints,405,1738,4.3,12,11,1,40,97,24.0,3,2019
605,Patriots,447,1703,3.8,17,6,0,33,110,24.6,3,2019
606,Vikings,476,2133,4.5,19,15,4,75,106,22.3,10,2019
607,Dolphins,349,1156,3.3,10,3,0,28,64,18.3,7,2019
608,Raiders,437,1893,4.3,13,11,3,60,104,23.8,9,2019
609,Rams,401,1499,3.7,20,8,0,27,92,22.9,6,2019
610,Chiefs,375,1569,4.2,16,10,3,91,93,24.8,5,2019
611,Jaguars,389,1708,4.4,3,10,4,81,85,21.9,3,2019
612,Colts,471,2130,4.5,17,14,3,63,131,27.8,3,2019
613,Texans,434,2009,4.6,17,13,4,58,112,25.8,11,2019
614,Titans,445,2223,5.0,21,14,5,74,104,23.4,8,2019
615,Packers,411,1795,4.4,18,7,3,56,90,21.9,3,2019
616,Lions,407,1649,4.1,7,7,2,44,82,20.1,5,2019
617,Broncos,409,1662,4.1,11,8,1,40,77,18.8,2,2019
618,Cowboys,449,2153,4.8,18,11,2,44,120,26.7,7,2019
619,Browns,393,1901,4.8,15,11,4,88,90,22.9,5,2019
620,Bengals,385,1517,3.9,9,8,1,41,85,22.1,3,2019
621,Bears,395,1458,3.7,8,5,2,55,85,21.5,5,2019
622,Panthers,386,1819,4.7,20,7,5,84,82,21.2,7,2019
623,Bills,465,2054,4.4,13,13,1,41,120,25.8,13,2019
624,Ravens,596,3296,5.5,21,23,5,63,188,31.5,12,2019
625,Falcons,362,1361,3.8,10,6,0,28,84,23.2,4,2019
626,Football ,400,1611,4.0,18,7,1,40,108,27.0,3,2020
627,Buccaneers,369,1519,4.1,16,9,2,98,82,22.2,3,2020
628,Seahawks,411,1971,4.8,15,11,1,50,111,27.0,6,2020
629,49ers,437,1889,4.3,19,8,2,80,101,23.1,6,2020
630,Chargers,466,1784,3.8,12,10,0,36,111,23.8,8,2020
631,Steelers,373,1351,3.6,12,10,2,59,81,21.7,7,2020
632,Cardinals,479,2237,4.7,22,17,2,69,136,28.4,9,2020
633,Eagles,403,2027,5.0,16,12,5,82,114,28.3,15,2020
634,Jets,406,1683,4.1,9,4,1,46,94,23.2,2,2020
635,Giants,399,1768,4.4,13,9,3,80,91,22.8,5,2020
636,Saints,494,2265,4.6,30,14,3,49,147,29.8,9,2020
637,Patriots,502,2346,4.7,20,13,3,49,143,28.5,8,2020
638,Vikings,468,2283,4.9,20,10,1,70,139,29.7,5,2020
639,Dolphins,428,1688,3.9,15,7,0,31,100,23.4,5,2020
640,Raiders,457,1916,4.2,20,9,1,43,121,26.5,9,2020
641,Rams,473,2018,4.3,19,9,4,61,123,26.0,4,2020
642,Chiefs,403,1799,4.5,13,10,0,32,110,27.3,5,2020
643,Jaguars,337,1519,4.5,9,6,1,47,80,23.7,3,2020
644,Colts,459,1996,4.3,20,12,3,62,129,28.1,1,2020
645,Texans,344,1466,4.3,10,5,1,48,83,24.1,7,2020
646,Titans,521,2690,5.2,26,20,5,94,142,27.3,5,2020
647,Packers,443,2118,4.8,16,10,4,77,114,25.7,4,2020
648,Lions,367,1499,4.1,17,5,1,54,93,25.3,5,2020
649,Broncos,442,1918,4.3,13,13,3,65,94,21.3,7,2020
650,Cowboys,430,1788,4.2,14,7,2,42,115,26.7,7,2020
651,Browns,495,2374,4.8,21,21,4,59,133,26.9,7,2020
652,Bengals,411,1668,4.1,13,9,2,55,92,22.4,8,2020
653,Bears,393,1647,4.2,12,8,3,80,93,23.7,1,2020
654,Panthers,407,1704,4.2,19,6,1,45,110,27.0,7,2020
655,Bills,411,1723,4.2,16,10,1,51,119,29.0,6,2020
656,Ravens,555,3071,5.5,24,31,5,72,166,29.9,11,2020
657,Falcons,409,1532,3.7,13,6,1,62,86,21.0,5,2020
658,Football ,477,2061,4.3,13,8,0,38,129,27.0,10,2021
659,Buccaneers,385,1672,4.3,18,9,2,55,106,27.5,3,2021
660,Seahawks,413,2074,5.0,18,18,3,73,106,25.7,4,2021
661,49ers,499,2166,4.3,22,12,1,49,130,26.1,5,2021
662,Chargers,423,1834,4.3,18,7,1,75,112,26.5,3,2021
663,Steelers,411,1583,3.9,10,9,0,37,85,20.7,0,2021
664,Cardinals,496,2076,4.2,23,10,3,57,127,25.6,16,2021
665,Eagles,550,2715,4.9,25,17,0,38,163,29.6,6,2021
666,Jets,380,1667,4.4,14,9,2,55,87,22.9,1,2021
667,Giants,419,1688,4.0,8,9,2,46,90,21.5,4,2021
668,Saints,510,1991,3.9,12,9,1,44,113,22.2,2,2021
669,Patriots,489,2151,4.4,24,11,1,64,139,28.4,7,2021
670,Vikings,449,1930,4.3,10,13,2,66,103,22.9,6,2021
671,Dolphins,442,1568,3.5,12,5,0,30,87,19.7,5,2021
672,Raiders,414,1617,3.9,14,7,0,31,95,22.9,9,2021
673,Rams,420,1683,4.0,10,3,0,39,99,23.6,3,2021
674,Chiefs,431,1955,4.5,16,9,1,51,119,27.6,8,2021
675,Jaguars,392,1755,4.5,13,7,2,66,92,23.5,6,2021
676,Colts,499,2540,5.1,22,19,5,83,154,30.9,7,2021
677,Texans,420,1422,3.4,8,6,0,36,77,18.3,5,2021
678,Titans,551,2404,4.4,23,11,3,76,134,24.3,9,2021
679,Packers,446,1900,4.3,13,7,1,57,109,24.4,5,2021
680,Lions,427,1886,4.4,12,12,2,57,104,24.4,6,2021
681,Broncos,455,2025,4.5,16,10,3,70,124,27.3,7,2021
682,Cowboys,473,2119,4.5,15,11,2,58,111,23.5,8,2021
683,Browns,485,2471,5.1,20,18,2,70,138,28.5,5,2021
684,Bengals,436,1742,4.0,16,8,1,46,96,22.0,2,2021
685,Bears,475,2018,4.2,14,13,1,41,119,25.1,5,2021
686,Panthers,455,1842,4.0,17,8,0,33,118,25.9,10,2021
687,Bills,461,2209,4.8,20,18,2,46,134,29.1,8,2021
688,Ravens,517,2479,4.8,18,15,1,46,159,30.8,7,2021
689,Falcons,393,1451,3.7,11,2,0,39,75,19.1,9,2021
